y_true,y_pred
0.16,0.16052237
0.16,0.16013439
0.42,0.42843786
0.125,0.12623565
0.16,0.16051313
0.16,0.15936533
0.42,0.42792097
0.125,0.12518466
0.42,0.42863008
0.42,0.42906746
0.125,0.126847
0.125,0.124345474
0.125,0.1258138
0.125,0.12325066
0.42,0.42612356
0.125,0.123379566
0.16,0.16132669
0.42,0.42604935
0.42,0.42818955
0.42,0.42503265
0.125,0.12478923
0.16,0.16123295
0.125,0.12745452
0.16,0.1602332
0.125,0.1223449
0.125,0.123214334
0.42,0.42828065
0.125,0.12466171
0.42,0.427498
0.125,0.12466068
0.16,0.15952218
0.16,0.16146976
0.125,0.124228306
0.16,0.16027708
0.125,0.12329515
0.125,0.124366455
0.125,0.12301087
0.16,0.15891922
0.16,0.1593878
0.125,0.12319726
0.125,0.12422777
0.16,0.16121224
0.42,0.4277422
0.42,0.4248493
0.125,0.124859676
0.16,0.16242614
0.125,0.12542401
0.16,0.16135636
0.42,0.42467377
0.42,0.42397597
0.125,0.12569202
0.125,0.12383424
0.42,0.42914823
0.16,0.16196461
0.16,0.16123548
0.16,0.15982461
0.42,0.4274653
0.16,0.15933457
0.42,0.42858222
0.125,0.12051188
0.16,0.16165042
0.42,0.42825657
0.42,0.4258324
0.16,0.15957446
0.125,0.1270605
0.125,0.12113181
0.42,0.4304777
0.42,0.42827377
0.42,0.4243805
0.42,0.426748
0.16,0.15988837
0.125,0.12083701
0.16,0.16167022
0.42,0.42809883
0.16,0.16073489
0.42,0.42647934
0.125,0.12561369
0.125,0.12516153
0.42,0.42839924
0.16,0.1616917
0.42,0.42719787
0.16,0.15988658
0.16,0.16060741
0.125,0.12504269
0.16,0.16238624
0.125,0.1206441
0.16,0.16217883
0.42,0.43011498
0.16,0.16333674
0.125,0.12420974
0.125,0.12715626
0.16,0.15997067
0.16,0.16001578
0.42,0.42736468
0.42,0.42985982
0.42,0.42384845
0.42,0.42683774
0.125,0.12520097
0.42,0.42925334
0.42,0.42798024
0.125,0.1255206
0.16,0.16227785
0.42,0.42836478
0.125,0.12320739
0.125,0.12726822
0.42,0.42899245
0.16,0.16098121
0.16,0.16140515
0.42,0.42689517
0.42,0.42888147
0.125,0.12428794
0.42,0.42302924
0.42,0.42775556
0.42,0.42503756
0.42,0.42495182
0.125,0.12413511
0.16,0.16070224
0.42,0.42631653
0.42,0.42779186
0.42,0.42235044
0.42,0.427592
0.42,0.42345503
0.125,0.12296245
0.16,0.15951759
0.125,0.1253759
0.125,0.120713316
0.16,0.16219495
0.16,0.16038202
0.16,0.15928221
0.16,0.16307348
0.42,0.42993075
0.125,0.124473035
0.16,0.1595234
0.16,0.1622772
0.16,0.16116096
0.42,0.43060514
0.42,0.4248527
0.42,0.42751923
0.16,0.1627338
0.16,0.16015728
0.16,0.16186386
0.16,0.15965927
0.16,0.16195482
0.16,0.16066647
0.16,0.16040727
0.42,0.42565233
0.16,0.1603287
0.42,0.4270717
0.16,0.16083995
0.16,0.16147609
0.16,0.1622237
0.42,0.42761156
0.125,0.12509847
0.16,0.16082022
0.125,0.12297163
0.42,0.4273846
0.42,0.42385256
0.42,0.42489538
0.125,0.12441378
0.125,0.12242461
0.16,0.16023605
0.16,0.16283986
0.16,0.16188034
0.16,0.16133207
0.125,0.1255507
0.42,0.42602468
0.42,0.42458138
0.42,0.42225328
0.125,0.1242529
0.42,0.42645478
0.125,0.12517247
0.125,0.124326326
0.42,0.42790124
0.16,0.16068307
0.125,0.12556693
0.125,0.1245608
0.16,0.16237333
0.16,0.16094986
0.42,0.42715538
0.125,0.12418499
0.125,0.12524244
0.125,0.120622
0.42,0.42929173
0.42,0.4273405
0.125,0.124091364
0.125,0.12385595
0.16,0.16093574
0.42,0.4282431
0.42,0.4296137
0.42,0.4265376
0.16,0.15976591
0.16,0.16238722
0.16,0.16117653
0.42,0.42450404
0.125,0.12345011
0.42,0.4246686
0.125,0.124384135
0.42,0.42476428
0.125,0.123023994
0.16,0.16194193
0.42,0.42797217
0.42,0.42547235
0.125,0.123185374
0.16,0.16176459
0.125,0.12520388
0.42,0.42550132
0.42,0.42853054
0.125,0.12369955
0.125,0.12421735
0.42,0.42471862
0.125,0.12544043
0.16,0.1612318
0.42,0.42570534
0.125,0.12412944
0.125,0.12577216
0.125,0.12722613
0.16,0.16077507
0.125,0.12336636
0.16,0.1596636
0.42,0.42365542
0.16,0.16164118
0.16,0.16046327
0.125,0.123593
0.125,0.12520409
0.16,0.16064529
0.125,0.12500028
0.125,0.12594996
0.42,0.427795
0.125,0.12415113
0.16,0.16259345
0.42,0.42776015
0.125,0.12552261
0.125,0.1239081
0.125,0.12553672
0.125,0.124061175
0.125,0.124577604
0.16,0.16121556
0.16,0.15994716
0.42,0.42601973
0.125,0.12479332
0.125,0.12511997
0.42,0.42548463
0.42,0.42476642
0.125,0.12584732
0.125,0.123440355
0.125,0.125821
0.16,0.1630181
0.42,0.42503193
0.125,0.1251478
0.125,0.1226903
0.42,0.42724487
0.16,0.15927699
0.42,0.4255396
0.125,0.12642069
0.42,0.4246853
0.42,0.42709142
0.125,0.12333509
0.42,0.4222299
0.125,0.1260937
0.16,0.16261813
0.16,0.1605638
0.42,0.4228271
0.42,0.4286694
0.42,0.42840686
0.16,0.15987712
0.125,0.12287722
0.16,0.16077797
0.125,0.12351752
0.42,0.42597103
0.16,0.15993953
0.42,0.42787707
0.125,0.123598486
0.16,0.1613853
0.125,0.123320065
0.125,0.1237891
0.16,0.16014194
0.42,0.42464387
0.125,0.12564906
0.125,0.123389475
0.125,0.12314773
0.16,0.1596009
0.125,0.124044485
0.42,0.42624736
0.16,0.1607443
0.125,0.12536304
0.42,0.42498922
0.42,0.4282858
0.125,0.123712234
0.42,0.42634043
0.42,0.4270858
0.125,0.12603115
0.42,0.42337647
0.16,0.1605689
0.42,0.429383
0.42,0.42895705
0.42,0.42549554
0.125,0.12422111
0.42,0.42820954
0.125,0.12360188
0.125,0.12742789
0.125,0.1232836
0.125,0.12491146
0.125,0.1236923
0.42,0.42490134
0.16,0.16146135
0.16,0.16223541
0.42,0.4237662
0.125,0.12569933
0.16,0.1593313
0.125,0.120975874
0.42,0.42706364
0.42,0.4245786
0.125,0.12384763
0.42,0.42496806
0.42,0.4275468
0.125,0.12415568
0.16,0.1618125
0.125,0.12644051
0.125,0.12398861
0.16,0.16133627
0.125,0.12409439
0.16,0.16236016
0.42,0.42863122
0.16,0.16089857
0.42,0.42716575
0.16,0.16044219
0.16,0.15991561
0.16,0.1610323
0.42,0.42617878
0.42,0.42668337
0.125,0.124883436
0.42,0.4247342
0.125,0.12474621
0.42,0.4294183
0.125,0.12451723
0.125,0.12305982
0.42,0.4273603
0.16,0.16099596
0.42,0.42483002
0.125,0.123920694
0.42,0.4274272
0.42,0.42705643
0.16,0.16050495
0.16,0.16198036
0.125,0.126297
0.16,0.15976894
0.42,0.42517278
0.42,0.42863223
0.16,0.16286817
0.125,0.1247781
0.125,0.12462232
0.16,0.16065311
0.125,0.12324397
0.125,0.1238264
0.42,0.428725
0.125,0.12337775
0.42,0.4273093
0.16,0.16194203
0.125,0.12523796
0.42,0.42382511
0.125,0.12592325
0.42,0.42302418
0.42,0.42950863
0.16,0.16151716
0.125,0.1221242
0.125,0.1262959
0.16,0.16006835
0.42,0.42894676
0.125,0.12575372
0.125,0.124560714
0.125,0.12407294
0.125,0.124302134
0.125,0.124467835
0.16,0.16062532
0.16,0.15994215
0.125,0.1234994
0.16,0.16024649
0.125,0.1252826
0.16,0.16167161
0.125,0.12335369
0.42,0.42735487
0.125,0.12295395
0.42,0.42891726
0.125,0.12485779
0.42,0.42944995
0.42,0.42628238
0.125,0.12749611
0.42,0.4293489
0.42,0.42324302
0.16,0.16268763
0.42,0.42819208
0.42,0.42278805
0.16,0.16171853
0.42,0.42758894
0.42,0.42312905
0.125,0.12486856
0.16,0.1599391
0.42,0.42546362
0.42,0.42775753
0.16,0.15959165
0.16,0.16242826
0.42,0.42605796
0.125,0.12435849
0.125,0.12353638
0.42,0.4284522
0.42,0.4283304
